time_ms,gid,population
945.8000000013494,251,unknown
945.8341360259061,15,unknown
945.8500000013496,331,unknown
945.95000000135,305,unknown
946.5500000013521,268,unknown
946.7250000013528,233,unknown
946.9250000013535,403,unknown
947.1500000013543,211,unknown
947.7250000013564,231,unknown
948.0000000013574,254,unknown
948.0500000013576,244,unknown
948.2500000013583,277,unknown
948.3000000013585,246,unknown
948.5000000013592,353,unknown
948.70000000136,223,unknown
948.9500000013609,344,unknown
948.9500000013609,348,unknown
949.1750000013617,293,unknown
949.2000000013618,230,unknown
949.2250000013619,338,unknown
949.4250000013626,271,unknown
949.5500000013631,364,unknown
949.7000000013636,370,unknown
949.7250000013637,204,unknown
949.7750000013639,327,unknown
949.800000001364,300,unknown
950.2000000013654,297,unknown
950.3250000013659,376,unknown
950.350000001366,357,unknown
950.4218920789215,22,unknown
950.6750000013672,250,unknown
950.8000000013676,241,unknown
951.2250000013692,259,unknown
951.3500000013696,295,unknown
951.45000000137,262,unknown
951.5000000013702,275,unknown
951.6000000013705,217,unknown
951.7500000013711,251,unknown
951.7500000013711,328,unknown
951.8250000013713,360,unknown
952.0250000013721,206,unknown
952.2000000013727,237,unknown
952.397445026292,144,unknown
952.397445026292,64,unknown
952.4750000013737,261,unknown
952.7750000013748,245,unknown
952.8500000013751,354,unknown
953.2500000013765,321,unknown
953.6000000013778,322,unknown
953.7250000013782,358,unknown
953.7750000013784,239,unknown
954.0250000013793,401,unknown
954.14989086385,14,unknown
954.2250000013801,277,unknown
954.2500000013802,232,unknown
954.3750000013806,350,unknown
954.3750000013806,365,unknown
954.4000000013807,379,unknown
954.475000001381,381,unknown
954.5000000013811,373,unknown
954.7000000013818,235,unknown
954.7000000013818,361,unknown
954.9250000013826,238,unknown
954.9691167982703,22,unknown
954.9750000013828,254,unknown
955.025000001383,271,unknown
955.3250000013841,234,unknown
955.4000000013843,210,unknown
955.4824464593663,15,unknown
955.6500000013853,371,unknown
956.1000000013869,214,unknown
956.369447329901,14,unknown
956.5676120764808,7,unknown
956.7000000013891,242,unknown
957.0250000013903,299,unknown
957.0750000013904,217,unknown
957.2391645422288,28,unknown
957.345383707474,57,unknown
957.345383707474,137,unknown
957.3500000013914,206,unknown
957.3500000013914,359,unknown
957.4000000013916,352,unknown
957.5250000013921,378,unknown
957.9750000013937,302,unknown
958.1750000013944,383,unknown
958.4250000013953,347,unknown
958.7250000013964,211,unknown
958.8000000013967,335,unknown
