g_pas,gnabar,gkbar,amp_nA,spikecount,AP_amplitude_mV,AP_width_ms,voltage_base_mV,mean_frequency_Hz,vmax_mV,vend_mV,good_candidate
3e-06,0.12,0.02,0.02,0.0,,,-70.28312701779292,,-65.0,-70.29434849129548,False
3e-06,0.12,0.02,0.05,0.0,,,-70.28312701779248,,-64.00806511749185,-70.28578641281871,False
3e-06,0.12,0.02,0.1,0.0,,,-70.28312701779171,,-61.01380686556365,-70.27890131920591,False
3e-06,0.12,0.02,0.15,0.0,,,-70.28312701779096,,-55.46184333699281,-70.27479593945782,False
3e-06,0.12,0.02,0.2,2.0,55.299944564806594,1.6500000000003752,-70.2831270177902,33.55704697983273,21.355227499969264,-70.27163708623111,True
3e-06,0.12,0.04,0.02,0.0,,,-72.20385794478534,,-65.0,-72.21281922300875,False
3e-06,0.12,0.04,0.05,0.0,,,-72.20385794478489,,-65.0,-72.20981519757798,False
3e-06,0.12,0.04,0.1,0.0,,,-72.20385794478413,,-65.0,-72.20710553524914,False
3e-06,0.12,0.04,0.15,0.0,,,-72.20385794478338,,-63.91049362358615,-72.20539344948497,False
3e-06,0.12,0.04,0.2,0.0,,,-72.20385794478263,,-62.41190780861414,-72.20411791371757,False
3e-06,0.12,0.08,0.02,0.0,,,-73.5891823437118,,-65.0,-73.59613873465531,False
3e-06,0.12,0.08,0.05,0.0,,,-73.58918234371136,,-65.0,-73.5946822962622,False
3e-06,0.12,0.08,0.1,0.0,,,-73.58918234371059,,-65.0,-73.59327714416162,False
3e-06,0.12,0.08,0.15,0.0,,,-73.58918234370984,,-65.0,-73.59235619468296,False
3e-06,0.12,0.08,0.2,0.0,,,-73.58918234370908,,-65.0,-73.59166291399602,False
3e-06,0.2,0.005,0.02,1.0,,4.300000000000061,-25.731140312365284,0.0,39.98489781664955,-25.730475629710085,False
3e-06,0.2,0.005,0.05,1.0,,4.300000000000061,-25.731140312364854,0.0,39.98489781664955,-25.73047431481438,False
3e-06,0.2,0.005,0.1,1.0,,4.300000000000061,-25.73114031236414,0.0,39.98489781664955,-25.730472149715677,False
3e-06,0.2,0.005,0.15,1.0,,4.300000000000061,-25.731140312363422,0.0,39.98489781664955,-25.730470016406024,False
3e-06,0.2,0.005,0.2,1.0,,4.300000000000061,-25.731140312362708,0.0,39.98489781664955,-25.73046791307846,False
3e-06,0.2,0.01,0.02,77.0,73.76183634094849,2.6363636363631815,-42.46353474401264,54.91153142158101,37.22980197251336,3.892028508877716,False
3e-06,0.2,0.01,0.05,80.0,70.7506927017366,2.5999999999995693,-42.46353474401223,59.26834253012616,37.22980197251336,-46.23398745994825,False
3e-06,0.2,0.01,0.1,83.0,65.20500321980815,2.5469879518068343,-42.46353474401154,65.8978583195835,37.22980197251336,-58.10004909865321,False
