time_ms,normal_SDH_mV,neuropathic_like_SDH_mV
569.37499999988,-66.39109760237076,-64.9025612559281
569.39999999988,-66.39139799180184,-64.90313168300074
569.4249999998801,-66.39169832192557,-64.90370202707068
569.4499999998802,-66.39199859275031,-64.90427228813972
569.4749999998803,-66.39229880428441,-64.90484246620964
569.4999999998804,-66.3925989565362,-64.90541256128225
569.5249999998805,-66.39289904951406,-64.90598257335932
569.5499999998806,-66.39319908322632,-64.90655250244268
569.5749999998807,-66.39349905768134,-64.9071223485341
569.5999999998808,-66.39379897288747,-64.9076921116354
569.6249999998809,-66.39409882885306,-64.90826179174839
569.649999999881,-66.39439862558648,-64.90883138887487
569.674999999881,-66.39469836309605,-64.90940090301666
569.6999999998811,-66.39499804139015,-64.90997033417558
569.7249999998812,-66.39529766047711,-64.91053968235344
569.7499999998813,-66.3955972203653,-64.91110894755208
569.7749999998814,-66.39589672106307,-64.91167812977332
569.7999999998815,-66.39619616257876,-64.91224722901899
569.8249999998816,-66.39649554492074,-64.91281624529093
569.8499999998817,-66.39679486809736,-64.91338517859097
569.8749999998818,-66.39709413211698,-64.91395402892095
569.8999999998819,-66.39739333698793,-64.91452279628272
569.924999999882,-66.3976924827186,-64.91509148067813
569.949999999882,-66.39799156931731,-64.91566008210901
569.9749999998821,-66.39829059679245,-64.91622860057724
569.9999999998822,-66.39858956515235,-64.91679703608467
570.0249999998823,-66.39888847440537,-64.91736538863316
570.0499999998824,-66.39918732455986,-64.91793365822456
570.0749999998825,-66.3994861156242,-64.91850184486074
570.0999999998826,-66.39978484760672,-64.91906994854358
570.1249999998827,-66.40008352051579,-64.91963796927496
570.1499999998828,-66.40038213435977,-64.92020590705674
570.1749999998829,-66.40068068914701,-64.9207737618908
570.199999999883,-66.40097918488587,-64.92134153377903
570.224999999883,-66.4012776215847,-64.92190922272331
570.2499999998831,-66.40157599925186,-64.92247682872555
570.2749999998832,-66.40187431789572,-64.92304435178762
570.2999999998833,-66.40217257752462,-64.92361179191143
570.3249999998834,-66.40247077814695,-64.92417914909886
570.3499999998835,-66.40276891977103,-64.92474642335183
570.3749999998836,-66.40306700240525,-64.92531361467225
570.3999999998837,-66.40336502605795,-64.92588072306202
570.4249999998838,-66.4036629907375,-64.92644774852306
570.4499999998839,-66.40396089645225,-64.92701469105727
570.474999999884,-66.40425874321056,-64.92758155066657
570.499999999884,-66.4045565310208,-64.9281483273529
570.5249999998841,-66.40485425989132,-64.92871502111818
570.5499999998842,-66.40515192983048,-64.92928163196433
570.5749999998843,-66.40544954084665,-64.92984815989328
570.5999999998844,-66.40574709294818,-64.93041460490699
570.6249999998845,-66.40604458614344,-64.93098096700737
570.6499999998846,-66.40634202044079,-64.93154724619637
570.6749999998847,-66.40663939584859,-64.93211344247595
570.6999999998848,-66.4069367123752,-64.93267955584804
570.7249999998849,-66.40723397002898,-64.9332455863146
570.749999999885,-66.40753116881831,-64.93381153387757
570.774999999885,-66.40782830875153,-64.93437739853894
570.7999999998851,-66.40812538983702,-64.93494318030065
570.8249999998852,-66.40842241208314,-64.93550887916466
570.8499999998853,-66.40871937549824,-64.93607449513294
570.8749999998854,-66.40901628009068,-64.93664002820748
570.8999999998855,-66.40931312586885,-64.93720547839023
570.9249999998856,-66.40960991284109,-64.93777084568318
570.9499999998857,-66.40990664101578,-64.9383361300883
570.9749999998858,-66.41020331040127,-64.9389013316076
570.9999999998859,-66.41049992100594,-64.93946645024305
571.024999999886,-66.41079647283814,-64.94003148599663
571.049999999886,-66.41109296590625,-64.94059643887034
571.0749999998861,-66.41138940021861,-64.9411613088662
571.0999999998862,-66.41168577578361,-64.94172609598618
571.1249999998863,-66.4119820926096,-64.94229080023231
571.1499999998864,-66.41227835070497,-64.94285542160658
571.1749999998865,-66.41257455007805,-64.943419960111
571.1999999998866,-66.41287069073722,-64.9439844157476
571.2249999998867,-66.41316677269086,-64.94454878851838
571.2499999998868,-66.41346279594732,-64.94511307842535
571.2749999998869,-66.41375876051498,-64.94567728547055
571.299999999887,-66.4140546664022,-64.94624140965601
571.324999999887,-66.41435051361734,-64.94680545098376
571.3499999998871,-66.41464630216878,-64.94736940945582
571.3749999998872,-66.41494203206487,-64.94793328507423
571.3999999998873,-66.415237703314,-64.94849707784104
571.4249999998874,-66.41553331592453,-64.94906078775828
571.4499999998875,-66.41582886990483,-64.94962441482801
571.4749999998876,-66.41612436526326,-64.95018795905227
571.4999999998877,-66.41641980200818,-64.95075142043311
571.5249999998878,-66.41671518014797,-64.95131479897259
571.5499999998879,-66.41701049969102,-64.95187809467276
571.574999999888,-66.41730576064566,-64.95244130753571
571.599999999888,-66.41760096302029,-64.95300443756348
571.6249999998881,-66.41789610682326,-64.95356748475814
571.6499999998882,-66.41819119206295,-64.95413044912176
571.6749999998883,-66.41848621874773,-64.95469333065643
571.6999999998884,-66.41878118688597,-64.95525612936422
571.7249999998885,-66.41907609648602,-64.95581884524721
571.7499999998886,-66.41937094755627,-64.95638147830749
571.7749999998887,-66.4196657401051,-64.95694402854714
571.7999999998888,-66.41996047414086,-64.95750649596826
571.8249999998889,-66.42025514967195,-64.95806888057294
571.849999999889,-66.4205497667067,-64.95863118236328
571.874999999889,-66.42084432525351,-64.95919340134138
571.8999999998891,-66.42113882532074,-64.95975553750935
571.9249999998892,-66.42143326691676,-64.9603175908693
571.9499999998893,-66.42172765004996,-64.96087956142333
571.9749999998894,-66.4220219747287,-64.96144144917355
571.9999999998895,-66.42231624096134,-64.9620032541221
572.0249999998896,-66.42261044875627,-64.96256497627107
572.0499999998897,-66.42290459812186,-64.9631266156226
572.0749999998898,-66.42319868906648,-64.96368817217882
572.0999999998899,-66.4234927215985,-64.96424964594186
572.12499999989,-66.4237866957263,-64.96481103691386
572.14999999989,-66.42408061145825,-64.96537234509694
572.1749999998901,-66.42437446880272,-64.96593357049325
572.1999999998902,-66.42466826776808,-64.96649471310494
572.2249999998903,-66.42496200836273,-64.96705577293413
572.2499999998904,-66.42525569059501,-64.967616749983
572.2749999998905,-66.4255493144733,-64.96817764425369
572.2999999998906,-66.42584288000599,-64.96873845574835
572.3249999998907,-66.42613638720145,-64.96929918446915
572.3499999998908,-66.42642983606805,-64.96985983041826
572.3749999998909,-66.42672322661417,-64.97042039359783
572.399999999891,-66.42701655884818,-64.97098087401004
572.424999999891,-66.42730983277846,-64.97154127165705
572.4499999998911,-66.42760304841339,-64.97210158654104
572.4749999998912,-66.42789620576133,-64.9726618186642
572.4999999998913,-66.42818930483067,-64.97322196802871
572.5249999998914,-66.42848234562977,-64.97378203463674
572.5499999998915,-66.42877532816703,-64.97434201849049
572.5749999998916,-66.42906825245082,-64.97490191959216
572.5999999998917,-66.4293611184895,-64.97546173794393
572.6249999998918,-66.42965392629145,-64.976021473548
572.6499999998919,-66.42994667586505,-64.97658112640659
572.674999999892,-66.43023936721869,-64.97714069652187
572.699999999892,-66.43053200036073,-64.97770018389609
572.7249999998921,-66.43082457529955,-64.97825958853143
572.7499999998922,-66.43111709204354,-64.97881891043012
572.7749999998923,-66.43140955060106,-64.97937814959437
572.7999999998924,-66.43170195098051,-64.9799373060264
572.8249999998925,-66.43199429319026,-64.98049637972844
572.8499999998926,-66.43228657723867,-64.9810553707027
572.8749999998927,-66.43257880313413,-64.98161427895145
572.8999999998928,-66.43287097088503,-64.9821731044769
572.9249999998929,-66.43316308049974,-64.98273184728127
572.949999999893,-66.43345513198663,-64.98329050736683
572.974999999893,-66.43374712535409,-64.98384908473581
572.9999999998931,-66.43403906061049,-64.98440757939045
573.0249999998932,-66.43433093776422,-64.98496599133301
573.0499999998933,-66.43462275682364,-64.98552432056574
573.0749999998934,-66.43491451779715,-64.9860825670909
573.0999999998935,-66.43520622069313,-64.98664073091075
