grid,BA_density,KDR_scale,soma_BNa,valid,reject_reason,RMP_mV,Rin_GOhm,rheobase_pA,overshoot_mV,half_width_ms,amplitude_mV,n_ap_targets_failed,total_ap_error,overshoot_err,half_width_err,amplitude_err
approachA_full_axon,0.02,2.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.58058742717682,0.876406668366964,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.02,2.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.55645141141098,0.8782149183528972,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.04,1.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.74978587274542,0.8611351387568462,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.04,1.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.72765138691516,0.8627699213836962,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.04,1.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.70533040344522,0.8644189285116411,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.04,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.7538221147156,0.8607690890130726,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.04,1.5,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.73172540868933,0.8624007309707196,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.04,1.5,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.70944275687953,0.8640465609920142,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.04,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.75785021190052,0.8604037404186926,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.04,2.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.73579116404882,0.862032250108902,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.04,2.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.71354671979496,0.8636749115088606,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.08,1.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-73.01661426524504,0.8363728675230305,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.08,1.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.99737108042292,0.8377516910570094,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.08,1.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.97802916228089,0.8391371502720787,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.08,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-73.0200897170457,0.8360571815307267,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.08,1.5,0.05,False,"rheobase nan outside (20.0, 60.0)",-73.00086742149179,0.8374343390413174,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.08,1.5,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.98154788033828,0.8388179724767071,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.08,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-73.02356015291468,0.8357419244157669,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.08,2.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-73.0043587870909,0.8371174123814299,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.08,2.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.98506107039533,0.8384992786854056,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.0,1.0,0.04,True,,-72.425959458598,0.7749591979319732,20,25.529799128060173,1.7249999999984311,67.30006253760386,2,2.504158849460374,0.0,2.166666666660857,0.337492182799517
approachB_reduced_axon,0.0,1.0,0.05,True,,-72.39977368204087,0.7769985430956894,20,30.044769397500804,1.6499999999984993,72.27381745792312,2,1.8906796647833641,0.0017907759000321732,1.888888888883332,0.0
approachB_reduced_axon,0.0,1.0,0.06,True,,-72.37332090969421,0.7790607426604993,20,33.497500304130746,1.5749999999985675,76.50387259438571,2,1.7510111232710366,0.13990001216522985,1.6111111111058067,0.0
approachB_reduced_axon,0.0,1.5,0.04,True,,-72.43077148865784,0.7745095218024091,40,28.945968774101726,1.5749999999985675,71.55927830627786,1,1.6111111111058067,0.0,1.6111111111058067,0.0
approachB_reduced_axon,0.0,1.5,0.05,True,,-72.40464103666973,0.7765438456407097,20,28.372969095459894,1.4749999999986585,70.38953624980545,1,1.240740740735773,0.0,1.240740740735773,0.0
approachB_reduced_axon,0.0,1.5,0.06,True,,-72.37824492175403,0.7786009095927782,20,32.59295855329057,1.424999999998704,75.34375197475481,2,1.1592738976823789,0.10371834213162287,1.055555555550756,0.0
approachB_reduced_axon,0.0,2.0,0.04,True,,-72.43557162561116,0.7740609474400543,40,28.45684804896875,1.4749999999986585,70.94541819488919,1,1.240740740735773,0.0,1.240740740735773,0.0
approachB_reduced_axon,0.0,2.0,0.05,True,,-72.40949614828985,0.7760902809727781,40,32.39332980018821,1.3999999999987267,75.52543538803539,2,1.0586961549657763,0.09573319200752849,0.9629629629582478,0.0
approachB_reduced_axon,0.0,2.0,0.06,True,,-72.38315634462695,0.7781422397775003,20,30.660959818751973,1.3499999999987722,72.94270077670296,2,0.8042161705233098,0.026438392750078917,0.777777777773231,0.0
approachB_reduced_axon,0.005,1.0,0.04,False,"rheobase 80 outside (20.0, 60.0)",-72.47062148628044,0.7707118150222498,80,25.388420958822167,1.5499999999985903,67.23975650244458,2,1.863548955707726,0.0,1.5185185185132983,0.3450304371944277
approachB_reduced_axon,0.005,1.0,0.05,True,,-72.44504891137017,0.7726937641274645,60,23.536033981711892,1.5750000000057298,64.25683701531148,2,2.3290064842183993,0.0,1.6111111111323335,0.7178953730860655
approachB_reduced_axon,0.005,1.0,0.06,True,,-72.4192217831099,0.7746974717169095,60,30.66204392342892,1.4749999999986585,73.01932479077762,2,1.2672224976729298,0.02648175693715686,1.240740740735773,0.0
approachB_reduced_axon,0.005,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.47531293179354,0.7702735236203437,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.005,1.5,0.05,False,"rheobase 80 outside (20.0, 60.0)",-72.44979255782494,0.7722507326276997,80,31.089939754359936,1.424999999998704,73.93377801647647,2,1.0991531457251535,0.043597590174397426,1.055555555550756,0.0
approachB_reduced_axon,0.005,1.5,0.06,False,"rheobase 80 outside (20.0, 60.0)",-72.42401891957954,0.7742495887024432,80,35.11419901364732,1.3749999999987494,78.68975478824635,3,1.1611576794424256,0.2045679605458929,0.8703703703657394,0.08621934853079338
approachB_reduced_axon,0.005,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.47999323809455,0.7698362653072082,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.005,2.0,0.05,False,"rheobase 80 outside (20.0, 60.0)",-72.45452472428785,0.771808764597101,80,30.556049753071306,1.3499999999987722,73.26487649049632,2,0.8000197678960832,0.02224199012285226,0.777777777773231,0.0
approachB_reduced_axon,0.005,2.0,0.06,False,"rheobase 80 outside (20.0, 60.0)",-72.42880423114673,0.7738027998370214,80,34.86693457337578,1.2749999999988404,78.30897245738164,3,0.7332989401034422,0.19467738293503117,0.4999999999957057,0.03862155717270532
approachB_reduced_axon,0.01,1.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.5139923297248,0.7665881799664718,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.01,1.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.48900351547807,0.7685154305690987,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.01,1.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.46377159666564,0.7704634292033077,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.01,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.51856990313524,0.766160655417967,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.01,1.5,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.49363042054915,0.7680834240453137,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.01,1.5,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.46844898421234,0.7700268421420077,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.01,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.52313699697041,0.765734104413123,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.01,2.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.49824656827249,0.7676524152133837,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.01,2.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.47311529182866,0.7695912814177632,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.02,1.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.59711247348561,0.7586885864736175,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.02,1.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.57321271576178,0.7605136514116382,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.02,1.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.54908987961838,0.7623576904680874,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.02,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.60147856528774,0.7582811086031299,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.02,1.5,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.57762387960001,0.760102069436843,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachB_reduced_axon,0.02,1.5,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.55354684975283,0.7619419433650009,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
