condition,temperature_C,current_pA,time_ms,voltage_mV
reference_rheobase_20pA,23.0,20.0,20.69999999999936,-59.08570472586464
reference_rheobase_20pA,23.0,20.0,20.799999999999354,-59.08441911160007
reference_rheobase_20pA,23.0,20.0,20.89999999999935,-59.083150880426466
reference_rheobase_20pA,23.0,20.0,20.999999999999343,-59.08189987179584
reference_rheobase_20pA,23.0,20.0,21.099999999999337,-59.080665926004734
reference_rheobase_20pA,23.0,20.0,21.19999999999933,-59.07944888419789
reference_rheobase_20pA,23.0,20.0,21.299999999999326,-59.07824858837176
reference_rheobase_20pA,23.0,20.0,21.39999999999932,-59.07706488137782
reference_rheobase_20pA,23.0,20.0,21.499999999999314,-59.07589760692584
reference_rheobase_20pA,23.0,20.0,21.59999999999931,-59.0747466095869
reference_rheobase_20pA,23.0,20.0,21.699999999999303,-59.07361173479635
reference_rheobase_20pA,23.0,20.0,21.799999999999297,-59.072492828856625
reference_rheobase_20pA,23.0,20.0,21.89999999999929,-59.071389738939885
reference_rheobase_20pA,23.0,20.0,21.999999999999286,-59.07030231309054
reference_rheobase_20pA,23.0,20.0,22.09999999999928,-59.06923040022765
reference_rheobase_20pA,23.0,20.0,22.199999999999275,-59.06817385014723
reference_rheobase_20pA,23.0,20.0,22.29999999999927,-59.06713251352431
reference_rheobase_20pA,23.0,20.0,22.399999999999263,-59.066106241914994
reference_rheobase_20pA,23.0,20.0,22.499999999999257,-59.065094887758335
reference_rheobase_20pA,23.0,20.0,22.599999999999252,-59.06409830437808
reference_rheobase_20pA,23.0,20.0,22.699999999999246,-59.063116345984284
reference_rheobase_20pA,23.0,20.0,22.79999999999924,-59.06214886767486
reference_rheobase_20pA,23.0,20.0,22.899999999999235,-59.06119572543692
reference_rheobase_20pA,23.0,20.0,22.99999999999923,-59.06025677614808
reference_rheobase_20pA,23.0,20.0,23.099999999999223,-59.059331877577605
reference_rheobase_20pA,23.0,20.0,23.199999999999218,-59.0584208883874
reference_rheobase_20pA,23.0,20.0,23.299999999999212,-59.05752366813299
reference_rheobase_20pA,23.0,20.0,23.399999999999206,-59.05664007726427
reference_rheobase_20pA,23.0,20.0,23.4999999999992,-59.055769977126246
reference_rheobase_20pA,23.0,20.0,23.599999999999195,-59.054913229959574
reference_rheobase_20pA,23.0,20.0,23.69999999999919,-59.05406969890105
reference_rheobase_20pA,23.0,20.0,23.799999999999184,-59.053239247984
reference_rheobase_20pA,23.0,20.0,23.899999999999178,-59.05242174213847
reference_rheobase_20pA,23.0,20.0,23.999999999999172,-59.05161704719146
reference_rheobase_20pA,23.0,20.0,24.099999999999167,-59.05082502986691
reference_rheobase_20pA,23.0,20.0,24.19999999999916,-59.05004555778568
reference_rheobase_20pA,23.0,20.0,24.299999999999155,-59.04927849946539
reference_rheobase_20pA,23.0,20.0,24.39999999999915,-59.048523724320155
reference_rheobase_20pA,23.0,20.0,24.499999999999144,-59.04778110266027
reference_rheobase_20pA,23.0,20.0,24.599999999999138,-59.0470505056917
reference_rheobase_20pA,23.0,20.0,24.699999999999132,-59.04633180551562
reference_rheobase_20pA,23.0,20.0,24.799999999999127,-59.04562487512769
reference_rheobase_20pA,23.0,20.0,24.89999999999912,-59.04492958841742
reference_rheobase_20pA,23.0,20.0,24.999999999999115,-59.04424582016726
reference_rheobase_20pA,23.0,20.0,25.09999999999911,-59.043573446051774
reference_rheobase_20pA,23.0,20.0,25.199999999999104,-59.042912342636576
reference_rheobase_20pA,23.0,20.0,25.2999999999991,-59.04226238737731
reference_rheobase_20pA,23.0,20.0,25.399999999999093,-59.04162345861843
reference_rheobase_20pA,23.0,20.0,25.499999999999087,-59.040995435591974
