current_na,time_ms,soma_mv,proximal_axon_mv,proximal_dendrite_mv
-0.02,21.59999999999931,-60.033989638213335,-60.02563755445779,-60.034485825429016
-0.02,21.699999999999303,-60.0340161673212,-60.02566381579666,-60.03451237084954
-0.02,21.799999999999297,-60.03404214188692,-60.025689522239404,-60.03453836174537
-0.02,21.89999999999929,-60.034067569390665,-60.02571468129698,-60.03456380559487
-0.02,21.999999999999286,-60.03409245723066,-60.02573930039791,-60.03458870979451
-0.02,22.09999999999928,-60.03411681272399,-60.025763386889004,-60.03461308165963
-0.02,22.199999999999275,-60.0341406431073,-60.02578694803619,-60.034636928425186
-0.02,22.29999999999927,-60.034163955537586,-60.0258099910252,-60.03466025724649
-0.02,22.399999999999263,-60.034186757092925,-60.02583252296235,-60.03468307519997
-0.02,22.499999999999257,-60.034209054773186,-60.02585455087527,-60.034705389283886
-0.02,22.599999999999252,-60.03423085550079,-60.025876081713676,-60.03472720641906
-0.02,22.699999999999246,-60.0342521661214,-60.02589712235002,-60.03474853344961
-0.02,22.79999999999924,-60.034272993404684,-60.02591767958029,-60.03476937714366
-0.02,22.899999999999235,-60.034293344045,-60.02593776012469,-60.03478974419405
-0.02,22.99999999999923,-60.034313224662085,-60.02595737062839,-60.03480964121907
-0.02,23.099999999999223,-60.03433264180181,-60.02597651766218,-60.03482907476312
-0.02,23.199999999999218,-60.03435160193682,-60.025995207723206,-60.03484805129741
-0.02,23.299999999999212,-60.03437011146726,-60.02601344723568,-60.034866577220704
-0.02,23.399999999999206,-60.03438817672146,-60.026031242551525,-60.034884658859944
-0.02,23.4999999999992,-60.03440580395658,-60.02604859995112,-60.034902302470954
-0.02,23.599999999999195,-60.03442299935935,-60.02606552564392,-60.034919514239135
-0.02,23.69999999999919,-60.034439769046664,-60.02608202576919,-60.03493630028008
-0.02,23.799999999999184,-60.034456119066306,-60.02609810639662,-60.0349526666403
-0.02,23.899999999999178,-60.034472055397565,-60.02611377352703,-60.03496861929784
-0.02,23.999999999999172,-60.034487583951936,-60.026129033093014,-60.03498416416296
-0.02,24.099999999999167,-60.03450271057372,-60.02614389095959,-60.03499930707875
-0.02,24.19999999999916,-60.03451744104069,-60.02615835292485,-60.035014053821826
-0.02,24.299999999999155,-60.03453178106474,-60.026172424720635,-60.03502841010292
-0.02,24.39999999999915,-60.034545736292515,-60.02618611201312,-60.03504238156752
-0.02,24.499999999999144,-60.03455931230601,-60.02619942040347,-60.035055973796524
-0.02,24.599999999999138,-60.034572514623235,-60.026212355428505,-60.03506919230686
-0.02,24.699999999999132,-60.03458534869881,-60.02622492256127,-60.035082042552055
-0.02,24.799999999999127,-60.03459781992458,-60.02623712721166,-60.03509452992292
-0.02,24.89999999999912,-60.03460993363022,-60.02624897472708,-60.035106659748116
-0.02,24.999999999999115,-60.034621695083864,-60.02626047039301,-60.03511843729476
-0.02,25.09999999999911,-60.03463310949268,-60.02627161943362,-60.03512986776903
-0.02,25.199999999999104,-60.03464418200346,-60.02628242701236,-60.03514095631675
-0.02,25.2999999999991,-60.034654917703236,-60.026292898232576,-60.03515170802402
-0.02,25.399999999999093,-60.03466532161983,-60.02630303813809,-60.03516212791772
-0.02,25.499999999999087,-60.03467539872246,-60.02631285171376,-60.03517222096618
-0.02,25.59999999999908,-60.03468515392231,-60.02632234388611,-60.035181992079686
-0.02,25.699999999999076,-60.03469459207309,-60.02633151952385,-60.03519144611108
-0.02,25.79999999999907,-60.0347037179716,-60.02634038343847,-60.035200587856316
-0.02,25.899999999999064,-60.03471253635832,-60.026348940384835,-60.03520942205505
-0.02,25.99999999999906,-60.034721051917934,-60.02635719506168,-60.03521795339113
-0.02,26.099999999999053,-60.034729269279886,-60.02636515211222,-60.035226186493226
-0.02,26.199999999999047,-60.03473719301895,-60.02637281612469,-60.035234125935325
-0.02,26.29999999999904,-60.03474482765574,-60.026380191632875,-60.035241776237285
-0.02,26.399999999999036,-60.03475217765728,-60.02638728311666,-60.035249141865386
-0.02,26.49999999999903,-60.034759247437506,-60.026394095002594,-60.03525622723284
-0.02,26.599999999999024,-60.034766041357834,-60.02640063166436,-60.03526303670034
-0.02,26.69999999999902,-60.034772563727635,-60.02640689742337,-60.035269574576596
-0.02,26.799999999999013,-60.0347788188048,-60.02641289654927,-60.03527584511879
-0.02,26.899999999999007,-60.03478481079625,-60.02641863326043,-60.03528185253319
-0.02,26.999999999999,-60.034790543858406,-60.02642411172448,-60.03528760097558
-0.02,27.099999999998996,-60.03479602209776,-60.02642933605886,-60.035293094551804
-0.02,27.19999999999899,-60.03480124957131,-60.026434310331254,-60.035298337318274
-0.02,27.299999999998985,-60.03480623028712,-60.02643903856013,-60.035303333282435
-0.02,27.39999999999898,-60.03481096820477,-60.026443524715255,-60.035308086403305
-0.02,27.499999999998973,-60.0348154672359,-60.026447772718164,-60.03531260059192
-0.02,27.599999999998968,-60.034819731244625,-60.02645178644266,-60.03531687971186
-0.02,27.699999999998962,-60.03482376404806,-60.02645556971527,-60.0353209275797
-0.02,27.799999999998956,-60.0348275694168,-60.02645912631578,-60.0353247479655
